gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit
F,N,Y,0,81000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,9866,2583,0,0,0,Medicine staff,1.0,15.0,2.0
F,N,Y,2,189000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,13788,351,0,1,0,unknown,4.0,10.0,1.0
F,N,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18858,2010,0,1,0,unknown,2.0,12.0,2.0
F,N,N,2,180000.0,State servant,Higher education,Married,House / apartment,11075,2808,1,0,0,Core staff,4.0,32.0,1.0
F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20170,1768,0,0,0,Laborers,2.0,43.0,2.0
F,N,Y,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,18927,2978,0,0,0,High skill tech staff,2.0,33.0,2.0
F,N,N,0,405000.0,Working,Higher education,Married,House / apartment,16388,7127,0,0,0,unknown,2.0,24.0,2.0
F,N,Y,2,90000.0,Working,Higher education,Married,House / apartment,11864,4513,0,0,0,Drivers,4.0,18.0,2.0
F,Y,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17663,1709,1,1,0,Core staff,2.0,50.0,2.0
M,N,Y,1,202500.0,Working,Higher education,Married,House / apartment,11836,2755,0,0,0,unknown,3.0,38.0,1.0
M,N,Y,0,211500.0,Working,Secondary / secondary special,Married,House / apartment,9315,1831,0,1,0,Sales staff,2.0,18.0,2.0
F,N,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,16188,309,1,1,1,Sales staff,2.0,11.0,2.0
M,Y,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,15988,990,0,0,0,unknown,4.0,10.0,1.0
F,N,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,21226,0,0,0,0,unknown,2.0,30.0,2.0
M,N,Y,0,193500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,9070,401,0,0,0,Sales staff,1.0,23.0,2.0
F,N,N,2,135000.0,Working,Secondary / secondary special,Separated,Municipal apartment,14677,5361,0,0,0,Cleaning staff,3.0,43.0,2.0
M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,11842,2016,0,0,0,Managers,3.0,55.0,2.0
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,20958,0,0,0,0,unknown,2.0,4.0,2.0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10450,2077,0,0,0,Sales staff,2.0,22.0,1.0
F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,15039,3334,0,1,0,Private service staff,2.0,7.0,0.0
M,Y,Y,0,292500.0,Working,Secondary / secondary special,Married,Rented apartment,17011,901,0,0,0,unknown,2.0,20.0,1.0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23442,0,0,1,0,unknown,2.0,3.0,1.0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,10328,1156,0,0,0,Laborers,2.0,12.0,1.0
F,N,Y,1,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,20442,0,0,1,0,unknown,3.0,26.0,2.0
F,Y,Y,2,175500.0,State servant,Secondary / secondary special,Married,House / apartment,18676,532,0,0,0,Core staff,4.0,19.0,1.0
F,N,Y,0,180000.0,Working,Higher education,Single / not married,House / apartment,22730,13415,1,1,0,Sales staff,1.0,17.0,2.0
F,Y,Y,0,148500.0,Commercial associate,Secondary / secondary special,Married,Office apartment,17107,2277,0,0,0,Core staff,2.0,23.0,2.0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,19583,6579,0,1,0,High skill tech staff,1.0,20.0,2.0
F,N,N,0,45000.0,Working,Higher education,Married,House / apartment,18406,3111,1,0,0,Accountants,2.0,52.0,2.0
F,Y,Y,0,270000.0,Pensioner,Higher education,Married,House / apartment,17833,620,0,1,0,Accountants,2.0,25.0,2.0
F,Y,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,12821,931,0,1,1,Laborers,3.0,36.0,2.0
F,N,N,2,99000.0,State servant,Secondary / secondary special,Married,House / apartment,14360,4660,0,1,1,Cleaning staff,4.0,38.0,0.0
M,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,8820,834,1,0,0,Laborers,1.0,24.0,2.0
F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,19984,4662,0,1,0,unknown,2.0,7.0,2.0
F,N,Y,1,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,14616,4543,1,1,1,unknown,3.0,48.0,1.0
F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,12506,495,1,0,0,Accountants,3.0,55.0,2.0
M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,14071,3806,1,0,0,Laborers,2.0,44.0,2.0
F,N,Y,1,135000.0,Working,Secondary / secondary special,Widow,House / apartment,15675,305,0,0,0,Sales staff,2.0,19.0,1.0
M,Y,Y,1,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,15493,0,0,0,0,unknown,3.0,24.0,2.0
F,N,N,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18580,1800,0,0,0,Managers,2.0,24.0,2.0
F,Y,N,3,675000.0,Working,Secondary / secondary special,Married,House / apartment,13808,1831,0,0,0,Managers,5.0,8.0,2.0
F,N,Y,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,22715,0,0,0,0,unknown,2.0,9.0,2.0
F,N,N,1,157500.0,Commercial associate,Higher education,Married,House / apartment,11042,1581,0,0,0,High skill tech staff,3.0,54.0,2.0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,20302,10259,0,0,0,Medicine staff,1.0,24.0,2.0
M,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15988,566,1,1,0,Laborers,4.0,11.0,2.0
F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,16477,3017,1,1,0,High skill tech staff,2.0,6.0,2.0
M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,9981,1866,0,0,1,Laborers,2.0,30.0,2.0
F,Y,N,0,337500.0,Working,Secondary / secondary special,Married,House / apartment,17079,681,1,1,0,Laborers,2.0,14.0,1.0
M,N,Y,0,225000.0,Pensioner,Higher education,Civil marriage,House / apartment,16518,0,0,0,0,unknown,2.0,0.0,0.0
F,N,Y,2,63000.0,Working,Secondary / secondary special,Married,House / apartment,10421,1203,0,0,0,Medicine staff,4.0,18.0,2.0
M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11706,1164,1,0,1,Drivers,2.0,46.0,2.0
M,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,10182,2403,0,0,0,Sales staff,1.0,52.0,2.0
M,Y,Y,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,10367,2389,0,1,0,Sales staff,2.0,42.0,2.0
M,Y,Y,0,63000.0,Pensioner,Secondary / secondary special,Married,House / apartment,24000,0,0,0,0,unknown,2.0,0.0,1.0
F,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,18038,10475,1,0,0,Core staff,2.0,8.0,2.0
F,Y,Y,2,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,12745,525,0,0,1,Core staff,4.0,23.0,1.0
F,Y,Y,0,315000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,9130,1390,0,1,0,Core staff,1.0,12.0,2.0
M,Y,Y,1,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,14450,3243,0,0,0,unknown,3.0,21.0,2.0
F,N,Y,0,225000.0,Working,Higher education,Separated,House / apartment,16072,338,0,0,0,Private service staff,1.0,21.0,0.0
M,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,12585,367,0,0,0,Sales staff,3.0,39.0,2.0
F,N,N,0,180000.0,Pensioner,Higher education,Married,House / apartment,19038,0,0,1,0,unknown,2.0,10.0,0.0
F,N,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,19783,3992,0,0,0,Managers,2.0,0.0,1.0
M,Y,Y,2,225000.0,Commercial associate,Higher education,Married,House / apartment,14869,229,0,0,1,unknown,4.0,40.0,2.0
M,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,10324,513,1,1,0,Laborers,2.0,57.0,2.0
M,N,Y,1,112500.0,Working,Higher education,Married,House / apartment,13682,5460,1,1,0,unknown,3.0,37.0,2.0
M,Y,N,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,14011,978,0,0,0,Managers,2.0,11.0,1.0
M,Y,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,13740,567,0,0,0,unknown,4.0,16.0,2.0
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,Co-op apartment,20128,0,0,1,0,unknown,2.0,14.0,1.0
F,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,19591,0,0,1,0,unknown,1.0,33.0,2.0
F,Y,Y,1,247500.0,Pensioner,Higher education,Married,House / apartment,16208,0,0,1,1,unknown,3.0,23.0,0.0
M,Y,N,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,15207,3201,0,0,0,Core staff,4.0,6.0,2.0
F,N,N,1,90000.0,Working,Secondary / secondary special,Married,Municipal apartment,15655,1191,0,0,0,Sales staff,3.0,10.0,0.0
F,Y,Y,0,540000.0,Commercial associate,Higher education,Separated,House / apartment,19347,104,0,1,1,unknown,1.0,4.0,2.0
M,Y,Y,2,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17359,3748,0,0,0,Laborers,4.0,23.0,2.0
F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21124,0,0,0,0,unknown,2.0,18.0,2.0
F,Y,Y,0,117000.0,Working,Secondary / secondary special,Married,Municipal apartment,17536,4113,0,1,0,Sales staff,2.0,53.0,1.0
F,N,N,0,128542.5,Commercial associate,Higher education,Single / not married,Rented apartment,9351,370,1,0,1,Sales staff,1.0,19.0,2.0
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,22042,0,0,0,0,unknown,2.0,22.0,1.0
M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,16289,3049,0,0,1,Sales staff,2.0,23.0,1.0
M,N,Y,0,36900.0,Working,Secondary / secondary special,Married,House / apartment,18565,1800,0,0,0,Laborers,2.0,3.0,1.0
F,N,N,0,49500.0,Pensioner,Higher education,Married,Municipal apartment,21157,0,0,0,0,unknown,2.0,18.0,0.0
M,Y,Y,0,382500.0,Working,Higher education,Married,House / apartment,10446,2420,0,0,0,Laborers,2.0,12.0,1.0
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,20032,0,0,0,0,unknown,2.0,8.0,1.0
M,N,N,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,15670,1010,1,0,0,High skill tech staff,2.0,8.0,2.0
F,N,N,0,139500.0,Working,Higher education,Separated,House / apartment,16203,7100,0,0,0,Managers,1.0,9.0,2.0
F,N,Y,0,292500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21076,0,0,0,0,unknown,2.0,13.0,0.0
M,N,Y,0,450000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,16669,460,0,0,1,Managers,2.0,23.0,1.0
F,Y,Y,1,135000.0,State servant,Secondary / secondary special,Married,Municipal apartment,12018,2971,0,0,0,unknown,3.0,3.0,0.0
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20362,0,0,0,0,unknown,2.0,31.0,2.0
M,Y,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,18441,1540,1,1,0,Drivers,2.0,52.0,1.0
F,N,N,1,108000.0,Working,Secondary / secondary special,Separated,House / apartment,14349,4082,0,1,0,unknown,2.0,11.0,1.0
F,N,Y,0,112500.0,Working,Incomplete higher,Single / not married,Rented apartment,8347,1598,0,0,0,Laborers,1.0,14.0,2.0
M,Y,Y,0,180000.0,Working,Higher education,Married,House / apartment,15444,393,0,0,0,Secretaries,2.0,45.0,1.0
F,N,N,0,99000.0,Working,Higher education,Married,House / apartment,14661,5521,0,0,0,unknown,2.0,23.0,2.0
F,N,N,0,112500.0,State servant,Secondary / secondary special,Widow,House / apartment,19295,5246,1,0,0,unknown,1.0,48.0,2.0
F,Y,Y,0,144000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12116,2714,1,1,0,Drivers,2.0,5.0,1.0
F,N,N,2,180000.0,State servant,Secondary / secondary special,Married,House / apartment,11950,4022,0,1,0,Medicine staff,4.0,60.0,2.0
M,N,N,0,180000.0,Working,Higher education,Single / not married,House / apartment,9503,354,1,1,0,Managers,1.0,51.0,0.0
M,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,19780,7097,0,0,0,Laborers,2.0,16.0,2.0
F,N,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17279,195,1,1,0,Accountants,2.0,23.0,2.0
F,Y,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,11405,1934,1,0,0,unknown,2.0,6.0,2.0
F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,11950,3109,0,0,0,Cleaning staff,3.0,20.0,2.0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,9811,864,0,0,0,Core staff,3.0,45.0,1.0
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,20337,0,0,0,0,unknown,2.0,17.0,1.0
F,N,Y,1,193500.0,State servant,Higher education,Civil marriage,House / apartment,12875,1009,0,0,1,Managers,3.0,17.0,1.0
F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,20846,0,0,0,0,unknown,2.0,53.0,2.0
F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20110,0,0,0,0,unknown,2.0,51.0,2.0
F,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,22964,0,0,0,0,unknown,2.0,38.0,2.0
F,N,Y,3,103500.0,Working,Secondary / secondary special,Married,House / apartment,15491,2957,0,0,0,Cleaning staff,5.0,4.0,0.0
F,N,Y,1,382500.0,State servant,Higher education,Single / not married,With parents,12116,553,0,0,0,Managers,2.0,53.0,2.0
M,Y,N,2,157500.0,Commercial associate,Higher education,Separated,Office apartment,13514,1357,0,1,0,Managers,3.0,57.0,0.0
M,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,12607,2177,0,0,0,High skill tech staff,3.0,8.0,0.0
F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,15351,6790,0,0,0,Core staff,1.0,31.0,0.0
M,N,N,0,157500.0,State servant,Higher education,Married,House / apartment,11965,3876,0,0,0,Core staff,2.0,53.0,1.0
F,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,9517,1810,1,1,0,Laborers,3.0,3.0,1.0
F,Y,N,1,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,10130,1651,0,0,0,Accountants,2.0,19.0,1.0
M,Y,Y,0,405000.0,Working,Secondary / secondary special,Married,House / apartment,17991,683,0,0,0,Sales staff,2.0,33.0,0.0
F,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11907,2988,1,1,1,Core staff,2.0,27.0,1.0
F,N,N,1,180000.0,Working,Secondary / secondary special,Married,With parents,10774,2592,0,0,0,unknown,3.0,11.0,2.0
F,N,Y,0,675000.0,Commercial associate,Higher education,Married,House / apartment,19698,4441,0,1,0,Managers,2.0,56.0,2.0
M,N,Y,0,229500.0,Working,Secondary / secondary special,Single / not married,House / apartment,16481,1292,1,1,0,Drivers,1.0,37.0,2.0
M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,9479,1143,0,0,0,Laborers,2.0,28.0,1.0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,10406,2774,0,0,1,Core staff,3.0,4.0,1.0
F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,16503,2670,0,1,0,Managers,3.0,13.0,2.0
F,N,Y,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,23407,0,0,0,0,unknown,2.0,12.0,2.0
M,N,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,10152,2585,1,0,0,Laborers,2.0,11.0,2.0
F,Y,Y,1,315000.0,State servant,Higher education,Married,House / apartment,13771,2080,0,0,0,Core staff,3.0,16.0,1.0
F,N,Y,0,216000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17644,7840,0,0,0,Laborers,2.0,38.0,2.0
F,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12175,1463,1,0,0,Core staff,2.0,33.0,2.0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,20907,0,0,0,0,unknown,2.0,7.0,1.0
F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,10309,1610,0,0,0,Laborers,2.0,5.0,1.0
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,12992,734,1,1,0,Drivers,2.0,28.0,1.0
